,width,height,url,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
0,360,640,https://scontent-bos5-1.cdninstagram.com/v/t51.2885-15/309285398_197869516010944_7727906197859837922_n.jpg?stp=dst-jpg_e15_p360x360&efg=eyJybWQiOiJpZ19hbmRyb2lkX21vYmlsZV9uZXR3b3JrX3N0YWNrX2xpZ2VyX2NvbXBhdGlibGVfcXVpY19hbGxvd2xpc3RfMTpjb250cm9sIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=104&_nc_ohc=7m1EKaa2ScUAX8ogg5o&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkzODA2Njg0NjAzMTM4NDc5NQ%3D%3D.2-ccb7-5&oh=00_AT-gXeaHCMM4RxsOvb8XW1O9uibngiljV5uy_1rJGf0dlQ&oe=6340A4D5&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,chelseaericasmith,CjGHDrcDZDb
0,360,640,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/301766451_453933199980108_2292531672863263262_n.jpg?stp=dst-jpg_e15_p360x360&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=100&_nc_ohc=SXvt8K4Io0kAX8sM_lW&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkxNDg4NDE5MTg1MjA0MTUzMQ%3D%3D.2-ccb7-5&oh=00_AT8g_DyLLOyuY5ENj9wawU3po5ySB22-anuflpkCI_dWAA&oe=6341024D&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,kasey.moore_,Chzv7qQvhU7
0,480,853,https://scontent-bos5-1.cdninstagram.com/v/t51.2885-15/293193001_2341275206031572_4847493823107053332_n.jpg?stp=dst-jpg_e15_p480x480&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=108&_nc_ohc=0jpuIoZ8LfMAX84xJSk&edm=APGXKFABAAAA&ccb=7-5&ig_cache_key=Mjg4MDg1OTQ2Njg0Mzk1NzI3Ng%3D%3D.2-ccb7-5&oh=00_AT_491t7-TRWuIaX4HHCFUUI8nHqaQxCfSJBes_r5iUWiw&oe=6328AA99&_nc_sid=f0cd3e,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,lovemilanmarie,Cf63mvxDigc
0,360,640,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/293991641_635772501224366_8151784052060969448_n.jpg?stp=dst-jpg_e15_p360x360&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=102&_nc_ohc=3xXR-8dm31QAX_a7vCZ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg4MjUyNzQ4ODE4Mzk0NjgxNg%3D%3D.2-ccb7-5&oh=00_AT9f1ZUMnZ7k3sOfaRZHz7R54-E70hmOmFw_lTPWi6jvww&oe=63424241&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,themhoffers,CgAy3psgM5A
0,360,640,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/300943047_410490814517253_6450707408404162408_n.jpg?stp=dst-jpg_e15_p360x360&efg=eyJybWQiOiJpZ19hbmRyb2lkX21vYmlsZV9uZXR3b3JrX3N0YWNrX25vX2xpZ2VyX3JldHJ5X3FwbDpsaWdlcl9ub19yZXRyeSJ9&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=jElahQtKMTkAX-Cg17A&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkxMTI1ODMzMDgwNjk2MjczOQ%3D%3D.2-ccb7-5&oh=00_AT8kb5Snd38fht4XLbdXgEzT6q3n2wVjXVBj2OVJ21jU_Q&oe=6340849D&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,princess.eva_,Chm3gcBJUoz
0,480,853,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/291143327_2604641699667006_3047800498743902513_n.jpg?stp=dst-jpg_e15_p480x480&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=106&_nc_ohc=LSU7elrKTMIAX_QLU-P&edm=APGXKFABAAAA&ccb=7-5&ig_cache_key=Mjg3MzU3NjIwMDYwMzg3MTkwNg%3D%3D.2-ccb7-5&oh=00_AT9XO_51gVN3lZz_YrpfWQycqJSWCrajmb__jonwX9pbXQ&oe=6340EE79&_nc_sid=f0cd3e,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,ashleymeghanpeters,Cfg_lRgAqqi
0,480,853,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/287772070_467305735202843_7912568831372388980_n.jpg?stp=dst-jpg_e15_p480x480&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=l1yTwJeQnKkAX81fssy&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg1OTgzMjIwNzI1Mjg2NTEyMQ%3D%3D.2-ccb7-5&oh=00_AT8cGQpireBQJ_I_J4GIuc2qgsPoyWx3mkGRbR_iss1oiw&oe=6341C6AB&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,vernsie_,CewKj2Oh0Bh
0,360,640,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/302154857_760401525044716_2258925485434205860_n.jpg?stp=dst-jpg_e15_p360x360&efg=eyJybWQiOiJpZ19hbmRyb2lkX21vYmlsZV9uZXR3b3JrX3N0YWNrX2xpZ2VyX2NvbXBhdGlibGVfcXVpY19hbGxvd2xpc3RfMTpsaWdlciJ9&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=Ksrelvytt3EAX8Ba1sS&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkxNjI1NTg2NDEyMzc2NzA0NQ%3D%3D.2-ccb7-5&oh=00_AT-PJh2HRa1V4PjhobHsu8-vf6i2Uchonl9Pp-y7Hc_H4A&oe=634220CA&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,thehawkins.onthehill,Ch4n0HnPzkF
0,360,640,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/301438530_138645975531638_5701848517365614254_n.jpg?stp=dst-jpg_e15_p360x360&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=102&_nc_ohc=LS9I5-ZFKvQAX9BBHwf&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkxMjEyMzY5MzgyOTA0NDgwMA%3D%3D.2-ccb7-5&oh=00_AT9xPEvvzlQ4UUJ0fniKCs8i-QWuloXnNW422nAsse9Sbg&oe=634217B3&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,emersynpotter,Chp8RIIrbpA
0,360,640,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/292101029_404998634913831_5432937281546528211_n.jpg?stp=dst-jpg_e15_p360x360&efg=eyJybWQiOiJpZ19hbmRyb2lkX21vYmlsZV9uZXR3b3JrX3N0YWNrX25vX3JldHJ5X3F1aWNfZGlzYWJsZWRfcXBsXzE6bW5zX25vX3JldHJ5In0&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=103&_nc_ohc=2xKwJ511tXUAX-rbloA&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg3NTY3NDMxMjY5ODE5OTQ2NA%3D%3D.2-ccb7-5&oh=00_AT9IiBinh_HgxuTWRefEGJKTogwmpkLnuBR8fwWpMPaYHQ&oe=63421006&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,hypefam805,Cfoco0qF32o
0,240,425,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/294988712_591765232527456_5471258277915733505_n.jpg?stp=dst-jpg_e15_p240x240&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=100&_nc_ohc=dUoKVFq_K58AX-6SBVJ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg4NzU0Mzk1ODkzMjc5NjgwNA%3D%3D.2-ccb7-5&oh=00_AT9TyvKQcmIvEFAwzAyo9nzZ1Pi3cpfjeqNga5vpGbxKUQ&oe=634199A1&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,texasmadefamily,CgSne6Jg7WE
0,360,639,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/285279873_5367455506609525_4074017532913183315_n.jpg?stp=dst-jpg_e15_p360x360&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=101&_nc_ohc=8K_rJyMFEeEAX_FPOTK&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg1MjU2MTk5MDAyMjY1NzgxOA%3D%3D.2-ccb7-5&oh=00_AT8qOPlbPhZanZPmO2xkuttymOz2BWq-tMGKzJB_3G_9Iw&oe=6340D1E0&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,alllisoonn,CeWVgQzFPca
0,360,640,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/301177751_172839641916214_1644670538116266068_n.jpg?stp=dst-jpg_e15_p360x360&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=SS1qeJAeWEoAX_Vfk8c&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkxMTQwMTM5MTU4NzM1NjYzOA%3D%3D.2-ccb7-5&oh=00_AT-tQa52pO4fJcX3S_5b6yyUvzN53KchgPAtYW_3IuiPDA&oe=6341FE96&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,a_piece_of_my_heaven,ChnYCPwJG_e
0,240,427,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/288040236_561852638796706_6651416085184069030_n.jpg?stp=dst-jpg_e15_p240x240&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=D7bnFBKdkQoAX9-7FcQ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg2MjY5NzUyMzYzMjUzNDM4Mw%3D%3D.2-ccb7-5&oh=00_AT-N7FIzFgXBtHmQ3coN2cw7yCVD6JnETxMsFciTaQaZvQ&oe=6340C5F0&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,mama_bear_wooten,Ce6WDsDgfNv
0,240,427,https://scontent-msp1-1.cdninstagram.com/v/t51.2885-15/301473044_132921896125825_7552923726351731161_n.jpg?stp=dst-jpg_e15_p240x240&_nc_ht=scontent-msp1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=lNUOcTdjpDUAX-rK2Yq&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkxMjgzNDE1Njc5ODk0NTQyMA%3D%3D.2-ccb7-5&oh=00_AT907IUMnJCr7mko4NA3w4l38Ayyiq7cddCO07SRQWep5Q&oe=6341F72A&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,caroline.merritt19,ChsdzuVoCiM
0,240,427,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/302313978_169633725583603_7060236408228601718_n.jpg?stp=dst-jpg_e15_p240x240&efg=eyJybWQiOiJpZ19hbmRyb2lkX21vYmlsZV9uZXR3b3JrX3N0YWNrX2xpZ2VyX2NvbXBhdGlibGVfcXVpY19hbGxvd2xpc3RfMTpsaWdlciJ9&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=QHRSVli4-P0AX9pmW21&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkxNzIwMzA3ODUwODAxMDU3Ng%3D%3D.2-ccb7-5&oh=00_AT8nmXhzXyzPMUYxrqwSX7vy4TR_WGrRUEomkpmL--QLqw&oe=634072F2&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,briellaandme,Ch7_L5wJVxQ
0,360,640,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/300989186_3165492547023937_8397289171875827802_n.jpg?stp=dst-jpg_e15_p360x360&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=101&_nc_ohc=EnKBD8SctsUAX9cxy0q&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkxMjA2MDEzNDM1MjI0ODcwMA%3D%3D.2-ccb7-5&oh=00_AT8dCY2rnn25gR7pvYwVj5dW-KX1qIwpTsLC9-4N3BLOcQ&oe=63407BEE&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,iammaritzarod,Chpt0NwpF98
0,640,1138,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/302876988_613398833633837_3545149057958579664_n.jpg?stp=dst-jpg_e35_p640x640_sh0.08&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=rb3RMobjRAMAX-39Axp&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkxNTg4NDAxMDY1MTk1ODAxOA%3D%3D.2-ccb7-5&oh=00_AT-I2mumTgByz3--SsXalVFndHGLEPuoYD7wm3N6hFMjiw&oe=63424515&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,doranpoma,Ch3TQ8FJrsC
0,360,640,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/292438233_334041638943502_6762228691481030458_n.jpg?stp=dst-jpg_e15_p360x360&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=z2kdJIrkCMAAX-dstu-&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg3ODY5MDU4NTMwOTY4MjA4OQ%3D%3D.2-ccb7-5&oh=00_AT-azqqCntIswqDu_OqccR2KNaQhLstZPDwVe43Arfr9Mw&oe=6341DBEA&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,babybumpsandmombunss_,CfzKdXbpRmp
0,360,640,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/305250749_3317498781842575_8584669371352181875_n.jpg?stp=dst-jpg_e15_p360x360&efg=eyJybWQiOiJpZ19hbmRyb2lkX21vYmlsZV9uZXR3b3JrX3N0YWNrX2xpZ2VyX2NvbXBhdGlibGVfcXVpY19hbGxvd2xpc3RfMTpjb250cm9sIn0&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=8p_b3rg90DEAX_tQfnZ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkyMTY0MDMxNzY2MTkxNjk3Ng%3D%3D.2-ccb7-5&oh=00_AT9pKArjUg0IpKI2dFtqtPP8vSa3opu6BUdE4mB--HhT9Q&oe=63425249&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,ausomelyos,CiLwGOvsq8w
0,480,855,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/302060304_179844267866459_8240250039411360151_n.jpg?stp=dst-jpg_e15_p480x480&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=111&_nc_ohc=ji2nDqtEGcQAX9gN8k2&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkxNTk0NTc3MzExMjAzNjc2NQ%3D%3D.2-ccb7-5&oh=00_AT-AbuZ09dJBhhIsL79B3DOQvvpn5l9wjPlokMTjnXdLYA&oe=63408F5A&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,woodandgraceblog,Ch3hTs2pQ2d
0,360,640,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/302062003_598676055053269_2856104083208883178_n.jpg?stp=dst-jpg_e15_p360x360&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=Pnh6VzVZGRoAX8ZDzIa&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkxNjMyNDYzNjc1NTEyODIxOQ%3D%3D.2-ccb7-5&oh=00_AT-lTja4hoURGtFUxGF7siwGVt7P55RxpXhSdSIUZR7z-g&oe=63419B6C&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,tori.mccain,Ch43c5Hgm-b
0,360,640,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/301818441_3401821756719441_5186560579628377096_n.jpg?stp=dst-jpg_e15_p360x360&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=hya8FwwJBckAX9g8fUu&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkxNTE1NzU0OTU4OTEzODY2OA%3D%3D.2-ccb7-5&oh=00_AT8jUpjs-drB1EbTcVe89EvvzzNzVCLrwdhqaArVVW6Wbw&oe=63415905&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,mikandnick,Ch0uFifjwzs
0,240,426,https://scontent-bos5-1.cdninstagram.com/v/t51.2885-15/302202948_406197664957665_4872723228044479818_n.jpg?stp=dst-jpg_e15_p240x240&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=wcuHJBNiAMQAX_EIDPJ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkxNzc3MjkzMjg0NTY1MTI2MA%3D%3D.2-ccb7-5&oh=00_AT-3fd0SYcMBwpi0R5DDUa5iZh7A2pAoDuN41jpCJqEgRA&oe=6341D48C&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,kimberlie.kathleen,Ch-AwX9g8U8
0,360,638,https://scontent-msp1-1.cdninstagram.com/v/t51.2885-15/302296765_3271109153204100_1235946607006738491_n.jpg?stp=dst-jpg_e15_p360x360&_nc_ht=scontent-msp1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=-ZrNsqFXSWMAX-Wjunj&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkxNTU5MzMxMzU5Nzk2NTI5OQ%3D%3D.2-ccb7-5&oh=00_AT9z2DFaNOeU7q8pDh9RatcI15CsaNN_-Xd_H7scB9eaTg&oe=6341391A&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,vanessa_amonn,Ch2RKvWgsPz
0,360,640,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/292640752_717904959438317_3732007855147634202_n.jpg?stp=dst-jpg_e15_p360x360&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=105&_nc_ohc=2x39yeVpmMIAX8A1Js9&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg3ODc3OTUwMzgxNjI0OTAyNA%3D%3D.2-ccb7-5&oh=00_AT_CNLZnXmTpIozu9LGLkgrIoOsXHn2GTey_QmOQuTHYYQ&oe=6341AF13&_nc_sid=30a2ef,2022-10-21 11:05:17.701718,Kozy Couch,kozycouch,lifeasmrsbaker,CfzerTPpI7A
